t,r_t
1005,3.771541211273802
1006,3.7771882692887764
1007,3.7731227379668466
1008,3.800965581196796
1009,3.76985723431765
1010,3.7684234238492023
1011,3.7474804209882375
1012,3.736018563711231
1013,3.755428652174335
1014,3.7355881944064206
1015,3.7262769748053506
1016,3.7451408107828916
1017,3.7563889450951873
1018,3.735079570367917
1019,3.7519025790663094
1020,3.744455539614976
1021,3.7548287244106966
1022,3.769416778410696
1023,3.7422937478641742
1024,3.7785439822160423
1025,3.7774341797240663
1026,3.8297360483689844
1027,3.878042034965775
1028,3.8907554064556185
1029,3.8722553397882384
1030,3.8656315326224617
1031,3.853868249454547
1032,3.917403531302674
1033,3.9113385154716624
1034,3.913747930233158
1035,3.8906178937475953
1036,3.8834326111443884
1037,3.8635854599176502
1038,3.8781428786598915
1039,3.860485420469522
1040,3.8763897219529437
1041,3.905647259838504
1042,3.875219675851339
1043,3.875965487421391
1044,3.873645496745461
1045,3.8560260290363666
1046,3.8873133550288776
1047,3.8830987413144378
1048,3.8837249127989315
1049,3.8917888996427825
1050,3.9045034927240683
1051,3.9200744109786094
1052,3.9374338020224604
1053,3.936794897189305
1054,3.934810516940111
1055,3.919922258542249
1056,3.8626182035208574
1057,4.04032997195936
1058,4.011022007816045
1059,4.025849655807487
1060,4.041189521547597
1061,4.01572590292941
1062,3.9942178981903744
1063,4.010139817466313
1064,3.9900533460823566
1065,4.030542292952943
1066,4.028481310900535
1067,4.0493948595839635
1068,4.069623230955082
1069,4.110967095658825
1070,4.1264069518363655
1071,4.142914508668446
1072,4.1016444746438525
1073,4.127591358708023
1074,4.138113109252406
1075,4.10662240292086
1076,4.110993519433155
1077,4.126650143263104
1078,4.078274309436367
1079,4.076909007464176
1080,4.110832731831021
1081,4.02530094129198
1082,4.015449283512303
1083,3.9952550840631034
1084,4.033757426055616
1085,4.088508802949735
1086,4.078593695281283
1087,4.077967775732622
1088,4.084377807185027
1089,4.0933040920374335
1090,4.130302235639573
1091,4.116175766752941
1092,4.121206220910163
1093,4.118706551349734
1094,4.180700506185028
1095,4.172322422256686
1096,4.173212128268451
1097,4.14140055298289
1098,4.157582459641712
1099,4.137023014965772
1100,4.1623857514417155
1101,4.140532879632086
1102,4.116841684487704
1103,4.1346746940898385
1104,4.140371653038507
1105,4.155793120438506
1106,4.163467830684495
1107,4.168966541326204
1108,4.177609593412838
1109,4.209713255452409
1110,4.214812900824598
1111,4.208280450455616
1112,4.194383457639574
1113,4.246218977462031
1114,4.251894012313373
1115,4.257212355757221
1116,4.253111787794655
1117,4.254773365795722
1118,4.278978714402144
1119,4.302432169478077
1120,4.347918981933692
1121,4.317852698716579
1122,4.359321766466312
1123,4.347473112419253
1124,4.392276032565774
1125,4.366553024549731
1126,4.348896135464173
1127,4.401951290700537
1128,4.398942647638504
1129,4.400676070121928
1130,4.4000774477807525
1131,4.411935899756152
1132,4.429723318845993
1133,4.428148257521926
1134,4.413317772931553
1135,4.382224599053477
1136,4.410362051691981
1137,4.417508541551877
1138,4.435963776804281
1139,4.448872994157223
1140,4.4456205989914475
1141,4.457287141990376
1142,4.456733852682353
1143,4.452386081218182
1144,4.452136845634228
1145,4.462849588757223
1146,4.469690800439578
1147,4.508029382715511
1148,4.539666180635295
1149,4.542164109222462
1150,4.587166799340111
1151,4.604234331655617
1152,4.643986707677007
1153,4.659359728710161
1154,4.67412067060535
1155,4.656075155688774
1156,4.695665159548666
1157,4.738682395347596
1158,4.721983139304815
1159,4.692761090161499
1160,4.699582818838502
1161,4.6739587509636396
1162,4.677448503098398
1163,4.684014008306957
1164,4.6911237325860995
1165,4.694621973059895
1166,4.714554704268455
1167,4.715647415560429
1168,4.678339205988237
1169,4.704947954272731
1170,4.701350435331552
1171,4.705138449657757
1172,4.70118519496792
1173,4.696597062166847
1174,4.697734412710164
1175,4.704921423587171
1176,4.692395827951872
1177,4.715005862869519
1178,4.712870231958291
1179,4.73526303153797
1180,4.7236961082278075
1181,4.70261659866845
1182,4.717961165090911
1183,4.708649405547596
1184,4.714067694665245
1185,4.723647213719788
1186,4.726905011556153
1187,4.713362716888772
1188,4.736670869448129
1189,4.740596882688772
1190,4.726374719058827
1191,4.74370867345348
1192,4.729934513702676
1193,4.738867328252411
1194,4.747199513853478
1195,4.74319411486738
1196,4.739159533302675
1197,4.740171611612838
1198,4.737850973709094
1199,4.750386378114441
1200,4.746865366629951
1201,4.740593472282354
1202,4.735128552265246
1203,4.7443094650064195
1204,4.762790905811768
1205,4.746802034513371
1206,4.759324123448132
1207,4.765508934522996
1208,4.764984557650271
1209,4.754837494301607
1210,4.750144097488773
1211,4.747261605727277
1212,4.742506367739044
1213,4.747159312942248
1214,4.751575846756152
1215,4.738862915973264
1216,4.73622666424278
1217,4.753264038173264
1218,4.744319929150804
1219,4.734463694378613
1220,4.716938623528348
1221,4.709920957166846
1222,4.709341634200004
1223,4.705907818428877
1224,4.688929615607491
1225,4.6992289630748685
1226,4.68014753838503
1227,4.667062888422459
1228,4.678813213700538
1229,4.695723948049199
1230,4.715268158552942
1231,4.724973213917651
1232,4.734545758816048
1233,4.7246256426342255
1234,4.72464354254439
1235,4.714610281238508
1236,4.698969833605352
1237,4.687589810636369
1238,4.698080697154015
1239,4.707086039156149
1240,4.702431974424601
1241,4.7037093878545475
1242,4.707801169488774
1243,4.713678044838503
1244,4.705717927730481
1245,4.690836863326205
1246,4.667309915774333
1247,4.690004350518721
1248,4.6932598593251385
1249,4.680860660219253
1250,4.682298574265243
1251,4.6607819119369
1252,4.663084435161501
1253,4.6523243736235305
1254,4.672952136286634
1255,4.6742742234695225
1256,4.629414331282353
1257,4.622577028409626
1258,4.626566294220324
1259,4.627856160104816
1260,4.639503961060963
1261,4.619733953456687
1262,4.631848617154011
1263,4.624569244829948
1264,4.59862201040749
