t,z1,z2,z3
578,-2.1173377,1.1824176,1.6840938
579,-2.1506019,1.2097706,1.75465
580,-2.3731709,1.2436602,1.8112384
581,-2.4046898,1.2608384,1.8247797
582,-2.2469854,1.1626301,1.7557809
583,-2.454836,1.2931836,1.9149214
584,-2.2901134,1.2183021,1.8499818
585,-1.9883033,1.022245,1.647967
586,-1.8368218,0.95832705,1.605058
587,-2.175562,1.1132002,1.7964653
588,-2.2201753,1.1941959,1.9878137
589,-1.932255,1.071035,1.773119
590,-2.239274,1.2654977,1.9456806
591,-1.9590279,1.0927941,1.8055291
592,-1.9785968,1.1306186,1.8787633
593,-2.26724,1.2348183,2.0063825
594,-2.42422,1.3031881,2.0589986
595,-2.5136986,1.3456982,2.1277506
596,-2.6285682,1.4011296,2.2373223
597,-2.6974216,1.4060678,2.1448271
598,-2.6002417,1.4483826,2.1487179
599,-2.7312183,1.49107,2.355584
600,-3.0330057,1.6667593,2.6524541
601,-2.6252403,1.5122534,2.4693706
602,-2.634573,1.4888151,2.4752276
603,-2.7122936,1.5086672,2.5788996
604,-2.5621119,1.4395437,2.4292548
605,-2.5723252,1.4061738,2.4395728
606,-2.9404607,1.488583,2.4929059
607,-2.852622,1.4811757,2.5982447
608,-2.840876,1.5839427,2.7697668
609,-2.7778134,1.5679036,2.7725937
610,-2.882618,1.6455064,2.8816159
611,-2.676084,1.5442872,2.7571056
612,-2.6996336,1.4970859,2.73228
613,-2.8256412,1.5301412,2.840726
614,-2.624354,1.4619313,2.713761
615,-2.7089806,1.5564374,2.8215215
616,-2.6158147,1.5305663,2.8159063
617,-1.8837247,1.1535115,2.3231127
618,-1.5111539,0.9856392,2.1273677
619,-1.5362989,1.0619591,2.2357385
620,-1.3853885,0.97855514,2.1083627
621,-1.1975336,0.87392104,1.9748809
622,-1.4061426,0.9503212,2.0104208
623,-1.3788369,0.8741618,1.7938372
624,-0.902441,0.61347014,1.4254315
625,-1.1717393,0.8053729,1.4763339
626,-0.54791945,0.376203,0.87152886
627,-0.48774165,0.39890623,0.85316217
628,-1.0182192,0.6586954,1.3108013
629,-1.0846616,0.6319031,1.29312
630,-1.1584831,0.67553097,1.4545306
631,-1.3782874,0.6282906,1.4536377
632,-1.5806031,0.7170408,1.5906098
633,-1.8199575,0.9560137,1.8026583
634,-1.9511473,1.0075306,1.9250654
635,-1.9424853,0.95944965,1.8501979
636,-1.6050469,0.7847247,1.6339774
